segment,proxy_period,total_baskets,total_need_zone_items,pg_need_zone_items,pg_need_share,wilson_ci_lower,wilson_ci_upper,confidence_level_label,is_high_confidence,supply_score,demand_multiplier,supply_multiplier,base_ad_budget,recommended_ad_budget,expected_incremental_revenue,expected_incremental_profit,max_allowed_ad_budget,final_recommended_budget,expected_roas,expected_profit_roi,action_label
babies,Proxy_Period_1,157,171,120,0.7018,0.6294,0.7653,HIGH,True,0.95,1.3,1.0,100000.0,130000.0,624000.0,218400.0,182000.0,130000.0,4.8,1.68,ADVERTISE
babies,Proxy_Period_2,140,154,100,0.6494,0.5712,0.7202,HIGH,True,0.95,1.3,1.0,100000.0,130000.0,624000.0,218400.0,182000.0,130000.0,4.8,1.68,ADVERTISE
babies,Proxy_Period_3,163,168,115,0.6845,0.6108,0.75,HIGH,True,0.95,1.3,1.0,100000.0,130000.0,624000.0,218400.0,182000.0,130000.0,4.8,1.68,ADVERTISE
babies,Proxy_Period_4,142,169,111,0.6568,0.5825,0.7242,HIGH,True,0.95,1.3,1.0,100000.0,130000.0,624000.0,218400.0,182000.0,130000.0,4.8,1.68,ADVERTISE
bakery,Proxy_Period_1,151,57,0,0.0,0.0,0.0631,HIGH,True,0.976,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
bakery,Proxy_Period_2,155,57,0,0.0,0.0,0.0631,HIGH,True,0.976,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
bakery,Proxy_Period_3,168,64,0,0.0,0.0,0.0566,HIGH,True,0.976,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
bakery,Proxy_Period_4,157,51,0,0.0,0.0,0.07,HIGH,True,0.976,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
beverages,Proxy_Period_1,257,235,0,0.0,0.0,0.0161,HIGH,True,0.9,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
beverages,Proxy_Period_2,257,224,0,0.0,0.0,0.0169,HIGH,True,0.9,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
beverages,Proxy_Period_3,293,282,0,0.0,0.0,0.0134,HIGH,True,0.9,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
beverages,Proxy_Period_4,274,264,0,0.0,0.0,0.0143,HIGH,True,0.9,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
dairy eggs,Proxy_Period_1,129,141,0,0.0,0.0,0.0265,HIGH,True,0.82,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
dairy eggs,Proxy_Period_2,145,159,0,0.0,0.0,0.0236,HIGH,True,0.82,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
dairy eggs,Proxy_Period_3,142,150,0,0.0,0.0,0.025,HIGH,True,0.82,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
dairy eggs,Proxy_Period_4,144,155,0,0.0,0.0,0.0242,HIGH,True,0.82,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
